stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,under,statistics_tfidf_pos,Naive Bayes,0.873485868102288,0.9314641744548287,0.8059299191374663,0.8641618497109826,0.9363026403501145
before,under,statistics_tfidf_pos,Decision Tree,0.7590847913862718,0.9,0.5822102425876011,0.707037643207856,0.8456764629162681
before,under,statistics_tfidf_pos,Random Forest,0.8869448183041723,0.8997214484679665,0.8706199460916442,0.8849315068493151,0.9592680346636524
before,under,statistics_tfidf_pos,GBDT,0.9098250336473755,0.9021164021164021,0.9191374663072777,0.910547396528705,0.9750963684317305
before,under,statistics_tfidf_pos,NN,0.9757738896366084,0.9943977591036415,0.9568733153638814,0.9752747252747253,0.9981088600991218
before,under,statistics_tfidf_pos_liwc,Logistic Regression,0.8721399730820996,0.8556701030927835,0.894878706199461,0.8748353096179182,0.9339332811639567
before,under,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8438761776581427,0.8277634961439588,0.8679245283018868,0.8473684210526317,0.9161993160015071
before,under,statistics_tfidf_pos_liwc,Support Vector Machine,0.46567967698519513,0.48142857142857143,0.9083557951482479,0.6293183940242765,0.76386111352636
before,under,statistics_tfidf_pos_liwc,Naive Bayes,0.873485868102288,0.9314641744548287,0.8059299191374663,0.8641618497109826,0.9363026403501145
before,under,statistics_tfidf_pos_liwc,Decision Tree,0.7590847913862718,0.9,0.5822102425876011,0.707037643207856,0.8456764629162681
before,under,statistics_tfidf_pos_liwc,Random Forest,0.8869448183041723,0.8997214484679665,0.8706199460916442,0.8849315068493151,0.9592680346636524
before,under,statistics_tfidf_pos_liwc,GBDT,0.9098250336473755,0.9021164021164021,0.9191374663072777,0.910547396528705,0.9750963684317305
before,under,statistics_tfidf_pos_liwc,NN,0.9757738896366084,0.9971830985915493,0.954177897574124,0.9752066115702479,0.9984928846766947
before,over,statistics,Logistic Regression,0.7598814229249012,0.7917783735478106,0.3411628802464382,0.4768568353067815,0.7843975622549917
before,over,statistics,K-Nearest Neighbors,0.8584486166007905,0.7448531893351333,0.8498267231420871,0.793884892086331,0.944294243858389
before,over,statistics,Support Vector Machine,0.3136116600790514,0.3068893528183716,0.9056603773584906,0.45843485040444404,0.5954812171191135
before,over,statistics,Naive Bayes,0.6781126482213439,0.40816326530612246,0.007701193685021178,0.01511715797430083,0.4018679701136546
before,over,statistics,Decision Tree,0.7388833992094862,0.728909952606635,0.2961108971890643,0.4211391018619934,0.6896662977124066
before,over,statistics,Random Forest,0.7880434782608695,0.7137311984473557,0.5664227955333077,0.6316015457277802,0.8279960307832075
before,over,statistics,GBDT,0.7839673913043478,0.7183316168898043,0.5371582595302272,0.6146728354263054,0.8196053848975797
before,over,statistics,NN,0.7768033596837944,0.7340047393364929,0.477088948787062,0.578296382730455,0.789809720015604
before,over,statistics_tfidf,Logistic Regression,0.9156373517786561,0.9299191374663073,0.797073546399692,0.8583868961227452,0.9689238488630586
before,over,statistics_tfidf,K-Nearest Neighbors,0.883893280632411,0.7346360804304729,0.9988448209472468,0.8466057441253263,0.9952282079081414
before,over,statistics_tfidf,Support Vector Machine,0.5922677865612648,0.40692755156002114,0.5926068540623797,0.482520771280765,0.6180688994246372
before,over,statistics_tfidf,Naive Bayes,0.8422677865612648,0.9667609618104668,0.5263765883711975,0.6816255297930691,0.9514440018253748
before,over,statistics_tfidf,Decision Tree,0.7539525691699605,0.8194297782470961,0.2988063149788217,0.4379232505643341,0.7095052392695337
before,over,statistics_tfidf,Random Forest,0.7646986166007905,0.9805555555555555,0.2718521370812476,0.42568586071751585,0.9162416760340716
before,over,statistics_tfidf,GBDT,0.8595602766798419,0.8578431372549019,0.6738544474393531,0.7547983610092732,0.9095721748127552
before,over,statistics_tfidf,NN,0.9929594861660079,0.9858454475899006,0.9922988063149788,0.9890616004605642,0.9991688550787019
before,over,statistics_tfidf_pos,Logistic Regression,0.816699604743083,0.8263929618768329,0.542549095109742,0.6550441655044166,0.8797407278797427
before,over,statistics_tfidf_pos,K-Nearest Neighbors,0.8674654150197628,0.7076294277929155,1.0,0.8287857028881441,0.9948040050408576
before,over,statistics_tfidf_pos,Support Vector Machine,0.3142292490118577,0.3068374950973983,0.9037350789372353,0.4581300019519812,0.5729672696467443
before,over,statistics_tfidf_pos,Naive Bayes,0.879693675889328,0.8731034482758621,0.7312283403927609,0.7958927074601844,0.9018162927092216
before,over,statistics_tfidf_pos,Decision Tree,0.7592638339920948,0.8375,0.3095879861378514,0.45206634804610635,0.6444288221830231
before,over,statistics_tfidf_pos,Random Forest,0.7838438735177866,0.9851088201603666,0.33115132845591067,0.49567723342939485,0.9251871537815219
before,over,statistics_tfidf_pos,GBDT,0.8740118577075099,0.8905398712233779,0.6923373122834039,0.7790294627383015,0.9318790975612677
before,over,statistics_tfidf_pos,NN,0.99024209486166,0.9849768875192604,0.9845976126299576,0.984787213556711,0.9990945950686732
before,over,statistics_tfidf_pos_liwc,Logistic Regression,0.816699604743083,0.8263929618768329,0.542549095109742,0.6550441655044166,0.8797407278797427
before,over,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.8674654150197628,0.7076294277929155,1.0,0.8287857028881441,0.9948040050408576
before,over,statistics_tfidf_pos_liwc,Support Vector Machine,0.3142292490118577,0.3068374950973983,0.9037350789372353,0.4581300019519812,0.5729672696467443
before,over,statistics_tfidf_pos_liwc,Naive Bayes,0.879693675889328,0.8731034482758621,0.7312283403927609,0.7958927074601844,0.9018162927092216
before,over,statistics_tfidf_pos_liwc,Decision Tree,0.7592638339920948,0.8375,0.3095879861378514,0.45206634804610635,0.6444288221830231
before,over,statistics_tfidf_pos_liwc,Random Forest,0.7838438735177866,0.9851088201603666,0.33115132845591067,0.49567723342939485,0.9251871537815219
before,over,statistics_tfidf_pos_liwc,GBDT,0.8740118577075099,0.8905398712233779,0.6923373122834039,0.7790294627383015,0.9318790975612677
before,over,statistics_tfidf_pos_liwc,NN,0.9920948616600791,0.9865539761813292,0.9888332691567193,0.9876923076923078,0.9992533385318842
simple,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
simple,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
simple,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
