stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,under,tfidf_pos_liwc,Support Vector Machine,0.47510094212651416,0.4866385372714487,0.9326145552560647,0.6395563770794824,0.5822718314349477
before,under,tfidf_pos_liwc,Naive Bayes,0.8061911170928667,0.7734939759036145,0.8652291105121294,0.8167938931297709,0.8925890502275164
before,under,tfidf_pos_liwc,Decision Tree,0.6944818304172274,0.8333333333333334,0.48517520215633425,0.6132879045996593,0.7658645625018115
before,under,tfidf_pos_liwc,Random Forest,0.8963660834454913,0.9966216216216216,0.7951482479784366,0.8845577211394303,0.9891821001072372
before,over,tfidf,Logistic Regression,0.9780138339920948,0.974499803844645,0.9564882556796304,0.9654100272055965,0.9958092285900968
before,over,tfidf,K-Nearest Neighbors,0.9961709486166008,0.9919478527607362,0.9961494031574895,0.9940441882804996,0.9987052639458442
before,over,tfidf,Support Vector Machine,0.7225790513833992,0.7057444314185228,0.23180592991913745,0.3489855072463768,0.7295732979910303
before,over,tfidf,Naive Bayes,0.9576333992094862,0.9472222222222222,0.9191374663072777,0.9329685362517101,0.9869486544373279
before,over,tfidf,Decision Tree,0.751358695652174,0.9709677419354839,0.23180592991913745,0.37426173453528133,0.61466841417521
before,over,tfidf,Random Forest,0.7519762845849802,0.988391376451078,0.22949557181363112,0.37250000000000005,0.9389529149522267
before,over,tfidf_pos,Logistic Regression,0.9782608695652174,0.9748921145547274,0.9568733153638814,0.965798678585309,0.9955834025341396
before,over,tfidf_pos,K-Nearest Neighbors,0.9930830039525692,0.982529434105583,0.9961494031574895,0.9892925430210324,0.996174121482374
before,over,tfidf_pos,Support Vector Machine,0.7024456521739131,0.7126696832579186,0.12129380053908356,0.2073050345508391,0.725844437147987
before,over,tfidf_pos,Naive Bayes,0.9544219367588933,0.9431185361972951,0.9129765113592607,0.9278027783212679,0.9833430701125832
before,over,tfidf_pos,Decision Tree,0.7566699604743083,0.8282722513089005,0.3045822102425876,0.44538288288288286,0.6404268693653336
before,over,tfidf_pos,Random Forest,0.7550642292490118,0.9904153354632588,0.23873700423565652,0.38473471920570895,0.9395141189601246
before,over,tfidf_pos_liwc,Logistic Regression,0.915143280632411,0.9400921658986175,0.7855217558721602,0.8558842039018251,0.9725132227282827
before,over,tfidf_pos_liwc,K-Nearest Neighbors,0.9204545454545454,0.8029785913744958,0.9965344628417405,0.8893470790378007,0.9970216519221509
before,over,tfidf_pos_liwc,Support Vector Machine,0.3155879446640316,0.3064176749079432,0.8971890643049673,0.45681795902362515,0.5342369106491375
before,over,tfidf_pos_liwc,Naive Bayes,0.9308300395256917,0.9259723964868256,0.8525221409318444,0.8877305533279871,0.9734168070464452
before,over,tfidf_pos_liwc,Decision Tree,0.7730978260869565,0.897489539748954,0.33038120908740853,0.4829721362229102,0.6590769855379593
before,over,tfidf_pos_liwc,Random Forest,0.7648221343873518,0.9900990099009901,0.2695417789757412,0.42372881355932196,0.925320478684016
simple,default,tfidf,Logistic Regression,0.965576005453306,0.9276595744680851,0.5409429280397022,0.6833855799373041,0.9786073796934701
simple,default,tfidf,K-Nearest Neighbors,0.9350715746421268,0.9583333333333334,0.05707196029776675,0.10772833723653395,0.6181386626831246
simple,default,tfidf,Support Vector Machine,0.8738922972051807,0.3285859613428281,0.8014888337468983,0.46608946608946616,0.90137804526436
simple,default,tfidf,Naive Bayes,0.9700068166325835,0.8900343642611683,0.6426799007444168,0.7463976945244957,0.975342297816695
simple,default,tfidf,Decision Tree,0.94546693933197,0.7677419354838709,0.29528535980148884,0.4265232974910395,0.6451383607391045
simple,default,tfidf,Random Forest,0.9393319700068167,1.0,0.11662531017369727,0.20888888888888887,0.9464696387341961
simple,default,tfidf_pos,Logistic Regression,0.9657464212678937,0.9208333333333333,0.5483870967741935,0.6874027993779159,0.9783876189330252
simple,default,tfidf_pos,K-Nearest Neighbors,0.9352419904567144,0.8285714285714286,0.07196029776674938,0.1324200913242009,0.612348602317023
simple,default,tfidf_pos,Support Vector Machine,0.7397750511247444,0.18355855855855857,0.8089330024813896,0.29921982560807714,0.8641508448756922
simple,default,tfidf_pos,Naive Bayes,0.9630197682344922,0.790625,0.6277915632754343,0.6998616874135546,0.9684071204302588
simple,default,tfidf_pos,Decision Tree,0.9451261077027948,0.7368421052631579,0.31265508684863524,0.43902439024390244,0.6565007639410733
simple,default,tfidf_pos,Random Forest,0.939161554192229,1.0,0.1141439205955335,0.20489977728285078,0.9463679312748167
simple,default,tfidf_pos_liwc,Logistic Regression,0.9567143830947512,0.8281938325991189,0.4665012406947891,0.5968253968253969,0.9659820331956801
simple,default,tfidf_pos_liwc,K-Nearest Neighbors,0.9364349011588275,0.6875,0.13647642679900746,0.2277432712215321,0.8087541063251595
simple,default,tfidf_pos_liwc,Support Vector Machine,0.1252556237218814,0.06252312245652979,0.8387096774193549,0.11637114821828198,0.3570417658957635
